host,gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
c7g-xlarge,64,expedited,1,9,0.022,8,64
c7g-xlarge,64,expedited,1,10,0.024,8,64
c7g-xlarge,64,expedited,1,11,0.026,8,64
c7g-xlarge,64,expedited,1,12,0.025,8,64
c7g-xlarge,64,expedited,1,13,0.024,9,64
c7g-xlarge,64,expedited,1,14,0.023,8,64
c7g-xlarge,64,expedited,1,15,0.025,8,64
c7g-xlarge,64,expedited,1,16,0.024,9,64
c7g-xlarge,64,expedited,1,17,0.025,8,64
c7g-xlarge,64,expedited,1,18,0.024,9,64
c7g-xlarge,64,expedited,1,19,0.022,8,64
c7g-xlarge,64,expedited,1,20,0.024,9,64
c7g-xlarge,64,expedited,1,21,0.025,8,64
c7g-xlarge,64,expedited,1,22,0.025,8,64
c7g-xlarge,64,expedited,1,23,0.024,9,64
c7g-xlarge,64,expedited,1,24,0.026,8,64
c7g-xlarge,64,expedited,1,25,0.025,8,64
c7g-xlarge,64,expedited,1,26,0.057,8,64
c7g-xlarge,64,expedited,1,27,0.024,8,64
c7g-xlarge,64,expedited,1,28,0.025,9,64
c7g-xlarge,64,expedited,1,29,0.036,8,64
c7g-xlarge,64,expedited,1,30,0.024,8,64
c7g-xlarge,64,expedited,1,31,0.021,8,64
c7g-xlarge,64,expedited,1,32,0.027,9,64
c7g-xlarge,64,expedited,1,33,0.019,9,64
c7g-xlarge,64,expedited,1,34,0.025,9,64
c7g-xlarge,64,expedited,1,35,0.024,10,64
c7g-xlarge,64,expedited,1,36,0.022,9,64
c7g-xlarge,64,expedited,1,37,0.025,9,64
c7g-xlarge,64,expedited,1,38,0.024,9,64
c7g-xlarge,64,expedited,1,39,0.020,8,64
c7g-xlarge,64,expedited,1,40,0.024,8,64
c7i-xlarge,1,normal,0,1,7.0,4,1
c7i-xlarge,1,normal,0,2,5.1,4,1
c7i-xlarge,1,normal,0,3,7.1,4,1
c7i-xlarge,1,normal,0,4,7.3,4,1
c7i-xlarge,1,normal,0,5,4.8,4,1
c7i-xlarge,1,normal,0,6,9.1,4,1
c7i-xlarge,1,normal,0,7,5.6,4,1
c7i-xlarge,1,normal,0,8,4.1,4,1
c7i-xlarge,1,normal,0,9,4.7,4,1
c7i-xlarge,1,normal,0,10,8.7,4,1
c7i-xlarge,1,normal,0,11,4.5,4,1
c7i-xlarge,1,normal,0,12,4.0,4,1
c7i-xlarge,1,normal,0,13,8.6,4,1
c7i-xlarge,1,normal,0,14,5.3,4,1
c7i-xlarge,1,normal,0,15,5.4,4,1
c7i-xlarge,1,normal,0,16,5.4,4,1
c7i-xlarge,1,normal,0,17,7.8,4,1
c7i-xlarge,1,normal,0,18,4.4,4,1
c7i-xlarge,1,normal,0,19,4.7,4,1
c7i-xlarge,1,normal,0,20,4.7,4,1
c7i-xlarge,1,normal,0,21,9.0,4,1
c7i-xlarge,1,normal,0,22,4.8,4,1
c7i-xlarge,1,normal,0,23,5.5,5,1
c7i-xlarge,1,normal,0,24,7.4,4,1
c7i-xlarge,1,normal,0,25,7.6,5,1
c7i-xlarge,1,normal,0,26,7.8,4,1
c7i-xlarge,1,normal,0,27,11,4,1
c7i-xlarge,1,normal,0,28,11,4,1
c7i-xlarge,1,normal,0,29,8.5,4,1
c7i-xlarge,1,normal,0,30,5.4,4,1
c7i-xlarge,1,normal,0,31,7.0,4,1
c7i-xlarge,1,normal,0,32,8.0,4,1
c7i-xlarge,1,normal,0,33,8.6,4,1
c7i-xlarge,1,normal,0,34,7.7,4,1
c7i-xlarge,1,normal,0,35,4.3,4,1
c7i-xlarge,1,normal,0,36,4.3,4,1
c7i-xlarge,1,normal,0,37,4.8,4,1
c7i-xlarge,1,normal,0,38,6.7,4,1
c7i-xlarge,1,normal,0,39,6.5,4,1
c7i-xlarge,1,normal,0,40,8.1,4,1
c7i-xlarge,2,normal,0,1,4.1,5,2
c7i-xlarge,2,normal,0,2,5.8,5,2
c7i-xlarge,2,normal,0,3,4.1,5,2
c7i-xlarge,2,normal,0,4,8.1,5,2
c7i-xlarge,2,normal,0,5,6.3,5,2
c7i-xlarge,2,normal,0,6,4.2,5,2
c7i-xlarge,2,normal,0,7,3.9,6,2
c7i-xlarge,2,normal,0,8,5.4,5,2
c7i-xlarge,2,normal,0,9,5.6,5,2
c7i-xlarge,2,normal,0,10,7.3,5,2
c7i-xlarge,2,normal,0,11,9.3,5,2
c7i-xlarge,2,normal,0,12,5.4,5,2
c7i-xlarge,2,normal,0,13,4.6,5,2
c7i-xlarge,2,normal,0,14,4.6,5,2
c7i-xlarge,2,normal,0,15,8.7,5,2
c7i-xlarge,2,normal,0,16,8.4,5,2
c7i-xlarge,2,normal,0,17,11,5,2
c7i-xlarge,2,normal,0,18,4.2,5,2
c7i-xlarge,2,normal,0,19,7.8,5,2
c7i-xlarge,2,normal,0,20,4.9,5,2
c7i-xlarge,2,normal,0,21,8.3,6,2
c7i-xlarge,2,normal,0,22,8.6,5,2
c7i-xlarge,2,normal,0,23,6.8,5,2
c7i-xlarge,2,normal,0,24,7.6,5,2
c7i-xlarge,2,normal,0,25,5.3,6,2
c7i-xlarge,2,normal,0,26,6.5,5,2
c7i-xlarge,2,normal,0,27,14,6,2
c7i-xlarge,2,normal,0,28,14,6,2
c7i-xlarge,2,normal,0,29,7.4,5,2
c7i-xlarge,2,normal,0,30,9.0,5,2
c7i-xlarge,2,normal,0,31,5.3,5,2
c7i-xlarge,2,normal,0,32,4.0,6,2
c7i-xlarge,2,normal,0,33,5.0,5,2
c7i-xlarge,2,normal,0,34,5.3,5,2
c7i-xlarge,2,normal,0,35,14,6,2
c7i-xlarge,2,normal,0,36,5.6,5,2
c7i-xlarge,2,normal,0,37,8.4,5,2
c7i-xlarge,2,normal,0,38,8.7,5,2
c7i-xlarge,2,normal,0,39,4.2,6,2
c7i-xlarge,2,normal,0,40,5.3,5,2
c7i-xlarge,4,normal,0,1,4.3,8,4
c7i-xlarge,4,normal,0,2,5.8,8,4
c7i-xlarge,4,normal,0,3,5.7,7,4
c7i-xlarge,4,normal,0,4,7.0,7,4
c7i-xlarge,4,normal,0,5,5.8,7,4
c7i-xlarge,4,normal,0,6,5.0,7,4
c7i-xlarge,4,normal,0,7,4.1,8,4
c7i-xlarge,4,normal,0,8,8.7,8,4
c7i-xlarge,4,normal,0,9,10,8,4
c7i-xlarge,4,normal,0,10,5.8,8,4
c7i-xlarge,4,normal,0,11,10,7,4
c7i-xlarge,4,normal,0,12,4.3,7,4
c7i-xlarge,4,normal,0,13,11,8,4
c7i-xlarge,4,normal,0,14,4.4,7,4
c7i-xlarge,4,normal,0,15,8.4,7,4
c7i-xlarge,4,normal,0,16,4.2,7,4
c7i-xlarge,4,normal,0,17,13,8,4
c7i-xlarge,4,normal,0,18,4.2,7,4
c7i-xlarge,4,normal,0,19,7.6,8,4
c7i-xlarge,4,normal,0,20,8.2,7,4
c7i-xlarge,4,normal,0,21,4.7,7,4
c7i-xlarge,4,normal,0,22,8.0,8,4
c7i-xlarge,4,normal,0,23,8.8,8,4
c7i-xlarge,4,normal,0,24,7.3,8,4
c7i-xlarge,4,normal,0,25,5.7,7,4
c7i-xlarge,4,normal,0,26,13,8,4
c7i-xlarge,4,normal,0,27,4.7,8,4
c7i-xlarge,4,normal,0,28,6.9,8,4
c7i-xlarge,4,normal,0,29,6.7,7,4
c7i-xlarge,4,normal,0,30,4.9,8,4
c7i-xlarge,4,normal,0,31,5.3,7,4
c7i-xlarge,4,normal,0,32,4.5,7,4
c7i-xlarge,4,normal,0,33,4.2,8,4
c7i-xlarge,4,normal,0,34,5.8,7,4
c7i-xlarge,4,normal,0,35,5.3,7,4
c7i-xlarge,4,normal,0,36,4.7,7,4
c7i-xlarge,4,normal,0,37,7.2,8,4
c7i-xlarge,4,normal,0,38,8.2,7,4
c7i-xlarge,4,normal,0,39,8.3,8,4
c7i-xlarge,4,normal,0,40,8.9,8,4
c7i-xlarge,8,normal,0,1,5.0,8,8
c7i-xlarge,8,normal,0,2,12,8,8
c7i-xlarge,8,normal,0,3,5.0,8,8
c7i-xlarge,8,normal,0,4,3.5,8,8
c7i-xlarge,8,normal,0,5,5.0,10,8
c7i-xlarge,8,normal,0,6,5.5,9,8
c7i-xlarge,8,normal,0,7,5.1,8,8
c7i-xlarge,8,normal,0,8,4.0,8,8
c7i-xlarge,8,normal,0,9,9.2,8,8
c7i-xlarge,8,normal,0,10,14,9,8
c7i-xlarge,8,normal,0,11,5.9,8,8
c7i-xlarge,8,normal,0,12,7.3,9,8
c7i-xlarge,8,normal,0,13,6.1,10,8
c7i-xlarge,8,normal,0,14,10,9,8
c7i-xlarge,8,normal,0,15,7.6,9,8
c7i-xlarge,8,normal,0,16,5.2,9,8
c7i-xlarge,8,normal,0,17,5.5,8,8
c7i-xlarge,8,normal,0,18,7.8,8,8
c7i-xlarge,8,normal,0,19,8.1,9,8
c7i-xlarge,8,normal,0,20,9.1,9,8
c7i-xlarge,8,normal,0,21,4.1,9,8
c7i-xlarge,8,normal,0,22,13,8,8
c7i-xlarge,8,normal,0,23,4.3,8,8
c7i-xlarge,8,normal,0,24,4.8,9,8
c7i-xlarge,8,normal,0,25,5.2,8,8
c7i-xlarge,8,normal,0,26,7.4,9,8
c7i-xlarge,8,normal,0,27,7.6,9,8
c7i-xlarge,8,normal,0,28,5.0,8,8
c7i-xlarge,8,normal,0,29,5.8,9,8
c7i-xlarge,8,normal,0,30,3.6,9,8
c7i-xlarge,8,normal,0,31,11,11,8
c7i-xlarge,8,normal,0,32,7.6,8,8
c7i-xlarge,8,normal,0,33,5.3,9,8
c7i-xlarge,8,normal,0,34,4.3,10,8
c7i-xlarge,8,normal,0,35,4.2,9,8
c7i-xlarge,8,normal,0,36,11,8,8
c7i-xlarge,8,normal,0,37,4.3,8,8
c7i-xlarge,8,normal,0,38,7.1,8,8
c7i-xlarge,8,normal,0,39,8.9,8,8
c7i-xlarge,8,normal,0,40,7.1,9,8
c7i-xlarge,16,normal,0,1,5.7,9,16
c7i-xlarge,16,normal,0,2,4.1,8,16
c7i-xlarge,16,normal,0,3,5.1,8,16
c7i-xlarge,16,normal,0,4,12,8,16
c7i-xlarge,16,normal,0,5,10,9,16
c7i-xlarge,16,normal,0,6,5.5,9,16
c7i-xlarge,16,normal,0,7,12,8,16
c7i-xlarge,16,normal,0,8,8.0,10,16
c7i-xlarge,16,normal,0,9,4.5,8,16
c7i-xlarge,16,normal,0,10,5.2,8,16
c7i-xlarge,16,normal,0,11,4.7,8,16
c7i-xlarge,16,normal,0,12,5.7,8,16
c7i-xlarge,16,normal,0,13,8.5,9,16
c7i-xlarge,16,normal,0,14,4.3,10,16
c7i-xlarge,16,normal,0,15,7.8,11,16
c7i-xlarge,16,normal,0,16,7.8,10,16
c7i-xlarge,16,normal,0,17,4.2,8,16
c7i-xlarge,16,normal,0,18,4.1,8,16
c7i-xlarge,16,normal,0,19,10,8,16
c7i-xlarge,16,normal,0,20,5.6,9,16
c7i-xlarge,16,normal,0,21,8.3,9,16
c7i-xlarge,16,normal,0,22,6.4,9,16
c7i-xlarge,16,normal,0,23,4.7,10,16
c7i-xlarge,16,normal,0,24,5.7,9,16
c7i-xlarge,16,normal,0,25,5.4,8,16
c7i-xlarge,16,normal,0,26,4.7,8,16
